institution,title,project_url,functioning_website,website_not_found,not_redirected_website,partially_unaccessible_website,new_website_url,url_showcase,url_showcase_working,url_landing_page,url_landing_working,provenance,knot_uri,notes,url_first_seen,url_last_seen
Treccani,VOCABO,,FALSE,TRUE,FALSE,FALSE,,https://www.treccani.it/magazine/lingua_italiana/speciali/VocaBO/2_Pani.html,TRUE,,FALSE,Italian DH Institutions,,,,
Università di Catania,Varianti della rosa,,FALSE,TRUE,FALSE,FALSE,,https://www.variantidellarosa.it/,TRUE,,FALSE,AIUCD,,,,
FBK- Fondazione Bruno Kessler,university research funding patent,,FALSE,TRUE,FALSE,FALSE,,https://dh.fbk.eu/2020/11/university-research-funding-patenting-and-technological-impact/,TRUE,,FALSE,Italian DH Institutions,,,,
,"TrebleCLEF: Evaluation, Best Practices and Collaboration for Multilingual Access",https://www.multimatch.org/,FALSE,FALSE,FALSE,FALSE,,https://www.trebleclef.eu/,TRUE,,FALSE,IRCDL,,,,
,TRANSSCRIPT,,FALSE,TRUE,FALSE,FALSE,,https://anr.fr/Project-ANR-14-CE31-0022,TRUE,,FALSE,AIUCD,,https protocol outdated,,
Università di Udine,"Toward an Audio Digital Library 2.0: SMASH, a Social Music Archive of SHellac Phonographic Discs",https://avires.dimi.uniud.it/tmp/DL/Experimental_Results.html,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,https protocol outdated,2024-04-15 09:19:38,2024-04-16 19:25:36
Università Ca' Foscari Venezia,The Sound of St Mark's,http://vmo.unive.it/choirbooks/,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/sound-stmark-project,,2018-04-30 07:50:10,2024-07-23 23:58:09
Università di Parma,The nuncio's secret archives,,FALSE,TRUE,FALSE,FALSE,,https://nsa.unipr.it,TRUE,,FALSE,Italian DH Institutions,,,,
,"The European Project OpenUP: OPENing UP new Methods, Indicators and Tools for Peer Review, Impact Measurement and Dissemination of Research Results",https://www.openuphub.eu/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,Adobe Flash Player not working,2017-06-05 00:00:23,2024-12-03 13:57:52
,The digital lab of “crunched books”: explore and annotate the classics,http://cbook.it/en/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,,2015-02-22 12:00:23,2023-06-06 02:48:39
,"The Challenges of Building Ex Libris Rosetta, a Digital Preservation System",https://exlibrisgroup.com/products/rosetta-digital-asset-management-and-preservation/,FALSE,FALSE,TRUE,FALSE,https://knowledge.exlibrisgroup.com/Rosetta,,FALSE,,FALSE,IRCDL,,https protocol outdated,2018-02-03 22:25:00,2023-03-28 02:35:16
Università di Parma,Tebtynis: fragmentary voices from the past,http://www.papirologia.unipr.it/ricerca/CPGM/index.html,FALSE,FALSE,TRUE,FALSE,http://www.papirologia.unipr.it/ricerca/tebtynis.html,,FALSE,,FALSE,Italian DH Institutions,,,,
Università di Bologna,studiolo belfiore,https://studiolobelfiore.unibo.it/,FALSE,FALSE,TRUE,FALSE,https://framelab.unibo.it/vt/studiolodibelfiore/Studiolo%20di%20Belfiore.html,,,,,KNOT,http://purl.org/knot/data/belfiore-project,,2022-01-09 21:57:51,2024-12-03 12:46:14
"Università degli Studi ""L'Orientale"" di Napoli",śivadharma database,,FALSE,TRUE,FALSE,FALSE,,https://shivadharmaproject.com/the-sivadhama-infrastructure-modeling-a-web-application-for-managing-scholarly-data/,TRUE,,FALSE,Italian DH Institutions,,search by keywords not working,,
,SACHER: Smart Architecture for Cultural Heritage in Emilia Romagna,http://www.sacherproject.com/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2018-04-26 17:11:47,2023-06-09 00:49:10
Università degli studi di Padova,ROADS,,FALSE,TRUE,FALSE,FALSE,,https://csc.dei.unipd.it/roads-project/index.html,TRUE,,FALSE,Italian DH Institutions,,404 page not found,,
"SISSA, Università di Udine, Università di Trieste",Regional Research Portal FVG: an OpenScience portal,https://research.unityfvg.it/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2018-01-20 19:44:41,2024-03-29 04:03:45
Università Ca' Foscari Venezia,Ramusio,http://virgo.unive.it/ecf-workflow/books/Ramusio/main/intro.html,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/elec-ramusio-project,,2015-08-29 08:43:51,2023-10-28 17:41:44
Università di Pisa,Progetto TraMonti,http://www.tramontivaldivara.it/,FALSE,FALSE,TRUE,FALSE,https://tramonti.labcd.unipi.it/,,FALSE,,FALSE,DH Awards,,https protocol outdated,2013-02-03 03:21:43,2019-11-20 16:28:37
,Predicting the Usability of the Dice CAPTCHA via Artificial Neural Network,https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path=%2Falessiaamelio%2F+software-tools%2Fdice-captcha-dataset.,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,,
,Petrarca itinera,https://petrarchsitinera.github.io/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,TRUE,AIUCD,,,2023-06-05 04:07:41,2023-06-05 04:09:40
Università di Bari,"Personalization in Digital Libraries: An Intelligent Service based on Semantic User Profiles
",http://193.204.187.223:8080/iswc rebuild/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2007-02-19 13:00:44,NOTPROVIDED
Università Ca' Foscari Venezia; Università degli studi di Udine.,PedeCerto - metrica latina digitale,https://www.pedecerto.eu/public/,FALSE,FALSE,TRUE,FALSE,https://www.pedecerto.eu/,,,,,KNOT,http://purl.org/knot/data/pedecerto-project,,2020-02-19 13:00:44,2024-11-28 11:51:56
,Parthenos Project,,FALSE,TRUE,FALSE,FALSE,,http://www.parthenos-project.eu/,TRUE,,FALSE,Italian DH Institutions,,,,
,Open Philology Project,http://openphilology.org/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,https protocol outdated,,
,NumET,https://nuovomedioevo.it/numet-2/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,,2018-03-30 09:25:10,2021-10-22 16:05:12
ISTI-CNR,MultiMatch: A New Way to Access Cultural Heritage Information across Media and Language Boundaries,http://multimatch01.isti.cnr.it/,FALSE,FALSE,FALSE,FALSE,,http://www.multimatch.eu/,TRUE,,FALSE,IRCDL,,,,
Università Ca' Foscari Venezia,Marchio Angeli’s Inventory,http://vmo.unive.it/inventory1720/,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/marchio-angeli-project,,2020-05-16 03:09:03,2024-11-29 22:43:57
ILC-CNR,Lemlat,,FALSE,FALSE,FALSE,FALSE,,http://www.lemlat3.eu/,TRUE,,FALSE,Italian DH Institutions,,credentials needed,,
,Historical Digital Archive and Geo-referenced Contents of the Francigena Librari Web Portal,http://www.francigena.beniculturali.it/web/valit/il-progetto,FALSE,FALSE,TRUE,FALSE,https://www.viefrancigene.org/,,FALSE,,FALSE,IRCDL,,"it's not possible to download, visualize metadata or texts",2012-12-22 08:06:53,2015-07-07 01:31:20
,GRASPOS,,FALSE,TRUE,FALSE,FALSE,,https://graspos.eu/,TRUE,,FALSE,Italian DH Institutions,,,,
Scuola Normale Superiore,Galassia Ariosto,http://galassiaariosto.sns.it/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,,2017-09-30 16:52:43,2020-11-27 08:13:09
