codice,progetto,istituzione,finanziamento
202224WS4K,"GREen policy shocks, Economic transition, and Distributive cOnflicts (GREEDO)",Università degli studi di PALERMO,314509
20222X8L5C,MANAGING SUSTAINABILITY TENSIONS FOR CHANGE,Università degli studi di PADOVA,264054
20222SBH75,Entrepreneurial ecosystem and business registration during the COVID-19-pandemic: a focus on female entrepreneur,Università Politecnica delleMARCHE,303.29
20222Z3CR7,Nudging under Limited Attention,Università degli Studi di PALERMO,229638
202232ZTX7,"And Justice for All: Access to Courts, Trials, and Convict Rehabilitation",Università Commerciale Luigi Bocconi MILANO,226.92
20223725WE,Methodological and computational issues in large-scale time series models foreconomics and finance,Università degli Studi di MESSINA,209467
2022389MRW,Co-designing robust schools to create public value for the young generations(CRoS),Università Commerciale Luigi Bocconi MILANO,204017
20223BACPK,Auctions: Theory and Applications,Università degli studi di FIRENZE,251189
20223NKPRJ,CArbon Transition in the Automotive Industry (CATAI),Università degli studi di BRESCIA,219642
20223NW3HR,"When Struggles Develop Strengths: Transforming Learning in Innovation. AnAnalysis of Individuals, Teams and Organizations.",Università degli studi di BOLOGNA,340626
20223PKWA5,The gift of sTEM talents: how Italy can benefit from STEM return migrants anddiaspora networks,Università degli studi di PAVIA,231574
20223SMKBZ,Industrialization in France and Britain: a new comparative economic history,Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna,251856
20223ZB33T,"Environmental and corporate social responsibility, green consumerism and firmsstrategic behavior",Università di  PISA,349469
20224BJLC7,Blending the physical and the virtual workplace: How different hybrid works models disrupt the labor market and call for emergent configurations of organizational andhuman resource management practices,Università Ca' FoscariVENEZIA,185712
20224EATBN,Firms within networks of words: Using text data (instead of SIC codes) to measureproximity between firms and firm performance,Università degli Studi G.d'Annunzio CHIETI-PESCARA,196708
20224M35N8,Irregular migration: Origin countries and border controls,Università degli Studi di MILANO,236856
20224PY4F4,"Job Safety, Globalization and Labor Market Institutions",Università degli Studi di TORINO,204286
20224TFJ5M,Assessing and moDelling the trAde and environmental Policy impacT inAgriculture (ADAPTA),Università degli studi di MILANO,263307
20224ZHNXE,Linking Research Evidence to Policy Impact and Learning: Increasing theeffectiveness of rural development programmes towards Green Deal goals (REcIPE),Università degli studi di Napoli Federico II,268722
202252P92X,APPLICATE - Assessing Public Policy effectiveness in minimising Local Impacts withClimate-related AdapTation Expenditures,Università degli studi di Urbino Carlo Bo,276579
202259EZSJ,"Green Investments and Environmental Risks: Banks, Firms and Public Policies",Università degli studi di Napoli Federico II,246.40000000000003
20225J7H4K,"Econometric and Macro-Financial Models of Climate Change: Transition, Policiesand Extreme Events",Università degli studi di ROMA Tor Vergata,243866
20225PC98R,The effects of climate change in the evaluation of financial instruments,Università degli studi di MILANO-BICOCCA,155354
20225RC7R,Algorithms and economic choices,Università Commerciale Luigi Bocconi' MILANO,262.12776502732237
20225YEPCT,Designing a Governance for The Token Economy in a Decentralised Era,Università degli studi di TORINO,287581
20227339KC,"Communicable diseases and economic activity: individual behavior, social interactions and macroeconomic outcomes",Università di  PISA,259594
202274Z54B,A Multidimensional Model for the Transition of SMEs to the Circular Economy,Università degli studi di BRESCIA,204878
20227FK9E7,Reaction to discrimination: Experimental Evidence,Università Commerciale Luigi Bocconi MILANO,250202
20227KF2ZK,"Environmental Awareness, Environmental Policies, and International Shocks: aTheoretical and Empirical Investigation",Università degli studi di NAPOLI Parthenope,330624
20227N3BMK,"Public policies and firms: the impact of credit- and liquidity-enhancing policies,public infrastructure investments, and green policies on the corporate sector.",Università degli studi di Napoli Federico II,298166
20227NN492,"The Economics of Beliefs, Culture and Institutions",Università Politecnica delleMARCHE,291.24
20227PZBE8,REVeRT - Relaunching cultural and heritage Experiences through Virtual RealityTourism,Università degli Studi di SASSARI,247.92
20227RMKFP,20227RMKFP -Is old really gold? International consumers perceptions and attitudes towards Italian cultural heritage and long-lasting brands,Università degli studi di NAPOLI Parthenope,236.97
20227SC9CC,BUMOLDS: a Business Model for Local Delivery Platforms,Università degli studi di BOLOGNA,291842
20227TCX5W,Liquidity and systemic risks in centralized and decentralized markets,Università degli studi di BOLOGNA,220.0
20227SNASS,Empirical Evaluation of Historical Policies: Fascist Land Reclamation Program andHuman Capital Accumulation in the Long-Run,Università degli studi di BERGAMO,246.4
20227XKP34,Exploited labour. An interdisciplinary research on the polities aimed at preventinglabour exploitation,Università degli studi di FOGGIA,245976
2022825Y5E,Scik-Health: Mapping Scientific Knowledge about health for decision-making,Università degli Studi di Napoli Federico II,260.47400000000005
2022844S7K,Environmental regulation and the pressure towards a sustainable reallocation of international trade flows,Università degli studi di TORINO,257304
202288ES9Z,Strategic Information Transmission Between Enemies (ENEMY),Università Commerciale Luigi Bocconi MILANO,234.0
202288L9YN,Evaluation of policies for enhancing sustainable wheat production in Italy(ECOWHEATALY),Università degli studi G.d'AnnunzioCHIETI-PESCARA,283802
202288NZT7,"Can Environmental, Social and Governance (ESG) Profiles Improve Credit Risk",Università del SALENTO,271.14300000000003
20228JRZYZ,INfrastructure: Firms and INdividual ouTcomEs (INFiNITE),Università degli studi di GENOVA,219634
20228N49BJ,Market Design Architecture and Industrial Policy in the Digital Era,Università degli studi di BERGAMO,251422
