codice,progetto,istituzione,finanziamento
2022KFLF3E,"EquAl: Equitable Algorithms, Promoting Fairness and Countering AlgorithmicDiscrimination Through Norms and Technologies.",Università degli studi di BOLOGNA,242691
20228W9NE7,Caring for Children with an Immigrant Background: A Cross-Sequential Longitudinal Study on Kindness Pillars and the Role of Dispositional and Contextual Factors inEarly Childhood,Università degli studi di ROMA La Sapienza,220000
202297CKET,ALGOLIT: Understanding and boosting algorithmic literacy,Università degli Studi di TRENTO,197997
2022YRJ83A,Feedback culture: assessing the effects of algorithmic recommendations onplatformized consumption - ALGOFEED,Università degli Studi di MILANO,211378
2022Z78M8J,"The Digital Transition and the World of Work: Labour markets, Organizations, Jobquality and Industrial Relations",Università degli studi di BARI ALDO MORO,246248
202233C93X,MetaLing Corpus: Creating a corpus of English linguistics metalanguage from the16th to the 18th century,Università degli Studi di MILANO,106675
202249CYPP,A.L.AR..CO (Archivio Linguistico ARbëresh e ltalo-romanzo in COntatto)Testo italianoA.L.AR.l.Co (Arberesh and Italo-Romance language corpus in contact),Università della  CALABRIA,325376
20225MH5NM,Disentangling heteRogeneity in autism: from EArly behavioral markers toindividual treatment responses through a Machine learning approach (DREAM).,Università degli Studi di TRIESTE,295202
20225PJ2JM,Interactions between visuo-spatial attention and semantic memory in large-scalecortical networks,Università degli studi di ROMA La Sapienza,248000
2022A74X79,Corpus SIM (Senectus Ipsa Morbus) - Spontaneous speech in healthy ageing,Università degli studi di Napoli Federico II,255106
2022APAFFN,The attentional curve of forgetting visual information in younger and older adults:experimental and computational insights.,Università degli Studi di ROMA La Sapienza,187000
2022K744JB,CROss-linguistic interference in the assignment of meaning during sentencecomprehension in bilINGual speakers: investigating semantic and syntactic processing and thecase of code-switching (CROssING),Università degli studi di MILANO-BICOCCA,182085
2022NPXYHH,CIP - Corpus of Italian language for Preschoolers.Lexicon directed to Italian preschool children from 3 to 6 years collected from heterogeneoussources in Italian and Italian Sign Language,Università degli studi di MODENA e REGGIO EMILIA,271736
2022S9ZMAY,PARALLEL SEMANTIC READING OF MULTIPLE WORDS DURING THE LIFE-SPAN,Università degli studi di MILANO-BICOCCA,212478
2022THXT58,Computational and linguistic benchmarks for the study of verb argumentstructure,Università di  PISA,186358
2022WHZJ98,The lexicalization of the adjective class in Indo-European and Semitic,Università degli studiGuglielmo Marconi -Telematica,339298
2022YMARNM,"Repertory of courts. Language, languages and cultural textuality ReCoLLeCT",Università degli studi di Urbino Carlo Bo,256312
2022YWWCP7,ARDIPSArchivio Digitale delltaliano Parlato-scritto (1860-1953)Digital Archive of Spoken-Written Italian (1860-1953),Università degli studi di CATANIA,303764
2022X37WMB,Prediction of psychopathological outcome and parental rflective functioningbased on perinatal risk factors: a machine learning quanti-qualitative longitudinal study onmothers and fathers,Università degli studi di PALERMO,255107
20223H7759,Literary translation and cultural transfer between Italy and Romania: creation ofa bilingual digital archive of literary translations from Italian into Romanian and from Romanianinto Italian,Università degli Studi di PADOVA,201697
20224K2JA8,HYPERsTAGE: an Open Knowledge base for the semantic reconstruction of theatrical performances through the harvesting and processing resources from the New ItalianNetwork of theatrical digital archives.,Università degli studi di ROMA Tor Vergata,259346
20225KT494,The Primo Levi Thesaurus: The Genesis and Dissemination of a Twentieth-CenturyCorpus,Università degli studi di PAVIA,270000
20227M8RS7,The ATLAS of talian Digital Humanities: a dynamic knowledge graph of digitalscholarly research on Italian Cultural Heritage,Università degli studi di BOLOGNA,212764
202283FJF7,"Texts of Uncertain Authorship in Thirteenth-century Italian Lyric Poetry. Methods,Practices and Tools of Attributive Philology.",Università degli studi di ROMA Tor Vergata,265000
20228TEZ9T,The forms of the museum: pilot project for a digital atlas of talian museums,Università degli studi di Napoli Federico II,271737
20228Z4LX3,CoenoBl(u)M. Art and architecture of the Cassinese Benedictine Congregation (XV-×XVIll centuries): digital and spatial analysis strategies through BiM models.,Università degli studi di PADOVA,243142
2022A2LXSP,"IDEA | THE DIGITAL ZUCCARI CORPUS. Texts, Contexts, Sources and Lexicon",Università degli studi di TORINO,252945
2022A773E4,Peripheral Baroque Sculpture 1630-1750: knowledge and engagement.Census and Digital Atlas of the Lazio provinces and the border areas,Università degli studi di FIRENZE,238000
