progetto,istituzione,finanziamento,sito web
DAFNE (Democratic governance of Automated systems for Fake News),Università di Bologna,241820,unibo.it/it/ricerca/progetti-e-iniziative/prin/19070/1907030542/28345
"Translating, Encoding, Sharing The Origins. From the Littera Florentina to an open-access Italian translation of Justinian’s Digest",ILC-CNR – Pisa,242939,https://dbtvm1.ilc.cnr.it/digesto/
Defending Art,Università di Trento,242325,https://r1.unitn.it/defendingart/
Textus galloromanici vetustiores,Università di Chieti e Pescara,284558,https://sifr.it/sifr_new/convegno-le-prime-testimonianze-manoscritte-delle-letterature-doc-e-doil-napoli-10-11-dicembre-2025/
Space and Time in Oral Archives,Università di Urbino,278448,https://sites.google.com/unisi.it/stoaproject/home
Contact-induced change and sociolinguistics: an experimental study on the Gallo-Italic dialects of Sicily,Università di Messina,283931,
Resilient syntax in contact: assessing minority languages (RESYNC),Università di Palermo,264914,
REAding CompreHension for inclusion (REACH): analyzing and enhancing the comprehension of syntactic and semantic structures in children with linguistic fragilities,IUSS Pavia,265095,
TE.C4Stress: can creativity training reduce technostress in teachers?,Università di Teramo,254994,
"Igital preservation, LInguistic analysis and valorization of historical archive of the former psychiatric hospital of GirifalcO (DILIGO)",CNR – Roma,254935,
BrailLet. A data-driven investigation into the cognitive demands of braille reading,ILC-CNR – Pisa,242993,https://hal.science/hal-05422841/document
The Goldsmith’s Art: Linguistic and Intercultural heritage (GALIC),Università degli Studi L'Orientale di Napoli,231945,https://galic-project.eu
Acceptability strategies through variations of English as a lingua franca in multicultural and multimodal discourse types,Università del Salento,223733,https://www.anglistica.it/2024/07/20/call-for-papers-elf-communication-today-acceptability-and-accessibility-in-focus/
LiITA: Interlinking Linguistic Resources for Italian via Linked Data,Università Cattolica del Sacro Cuore – Milano,237965,https://www.liita.it
New Forms of Calligraphy in China: A Contemporary Culture Mirror,Università di Bologna,231181,https://aiucd2025.dlls.univr.it/assets/pdf/papers/118.pdf
Memory strategies: an online archive and some historical and literary research paths on the documentary fonds of the Manni publishing house,Università del Salento,231655,https://apps.uniroma3.it/ateneo/memo/files/pub_Locandina_119f469a-f61f-494d-8c9f-08ee4bf6fa49.pdf
MetriCa – Epigraphic Poetry in Ancient Campania,Università Vanvitelli Napoli,222759,https://metricaproject.it
"The role of confraternities in institutional, urban and architecture planning (1400-1700). Heritage-led innovation for the cultural, economic and social advancement of communities: Naples, Palermo and Cagliari – CNPCH (Confraternities Naples, Palermo and Cagliari Heritage-led innovation)",CNR – Roma,228673,https://www.campaniasacra.it/wp-content/uploads/2024/07/5-Abett-oki.pdf
"PHILOMEHUS - Lorenzo Mehus and the History of Philology: Archive, Books, Letters",Università di Firenze,222005,https://www.philomehus.unifi.it
Reconstructing Fragmentary Papyri through Human-Machine Interaction,Università di Firenze,221203,https://www.joinpap.unifi.it
"TRANSHUMANCE IN THE ANCIENT WORLD: Historical Landscapes, Literary Passages and Lexical Paths",Università di Bari,231454,https://transumanza.eu
"All fire, all flames: from philology to artificial intelligence and back. Restoring and editing the ms. L.II.14 of the Biblioteca Nazionale Universitaria di Torino damaged by the fire of 1904",ISPC-CNR – Napoli,230994,https://www.ispc.cnr.it/it_it/2024/06/03/afaf/
"Management of power and promotion of consensus in the age of cardinal Alessandro iuniore (occasional literature, art, exposed writings)",Università della Tuscia – Viterbo,230575,
MetaLibraries. Living Libraries for a Better Living,Università di Bari,230620,https://metalibraries.wixsite.com/metalibraries
"Animals and Plants in North Italian Sculpture, Painting and Manuscript Illumination between the 14th and 17th Centuries: Case Studies and a Database",Università Statale di Milano,231310,
Open Air Theatres in Italy,Università di Trieste,231681,https://www.oati.it/it
From Common Goods to Ecological Resources. Environmental Development Prospects for Areas Subject to Civic Use in Campania and Molise,Università Federico II di Napoli,190825,https://civicuses.it
"CriArcLi - Italian Professors of Criminal Law's Archives and Libraries: Models, Digitisation and Public Engagement ",Università di Bologna,227553,https://www.historiaetius.eu/uploads/5/9/4/8/5948821/progetto_criarcli.pdf
E|Quality. Strategies for Meaningful Inclusion in Italian Cinema and Television,Università Cattolica del Sacro Cuore – Milano,230959,
"EXCERPTA. EXploring Contents of Early Roman Period Taken from Anthologies (Sicily, XV-XVI cent.)",Università di Catania,225806,https://www.disum.unict.it/it/content/excerpta-exploring-contents-early-roman-period-taken-anthologies-sicily-xv-xvi-cent
