codice,finanziamento
202224WS4K,314.509
20222SBH75,303.29
20222X8L5C,264.054
20222Z3CR7,229.638
202232ZTX7,226.92000000000002
20223725WE,209.467
2022389MRW,204.017
20223BACPK,251.18900000000002
20223NKPRJ,219.642
20223NW3HR,340.626
20223PKWA5,231.574
20223SMKBZ,251.856
20223ZB33T,349.469
20224BJLC7,185.712
20224EATBN,196.708
20224M35N8,236.856
20224PY4F4,204.286
20224TFJ5M,263.307
20224ZHNXE,268.722
202252P92X,276.579
202259EZSJ,246.40000000000003
20225J7H4K,243.86599999999999
20225PC98R,155.354
20225YEPCT,287.581
20227339KC,259.594
202274Z54B,204.878
20227FK9E7,250.202
20227KF2ZK,330.624
20227N3BMK,298.166
20227NN492,291.24
20227PZBE8,247.92000000000002
20227RMKFP,236.97
20227SC9CC,291.842
20227SNASS,246.4
20227TCX5W,220.0
20227XKP34,245.976
2022825Y5E,260.47400000000005
2022844S7K,257.304
202288ES9Z,234.0
202288L9YN,283.802
202288NZT7,271.14300000000003
20228JRZYZ,219.63400000000001
20228N49BJ,251.422
20228W79W3,257.25100000000003
20228XTY79,334.738
202298S8YE,261.878
20229BN5BH,309.748
20229EHBN7,217.029
20229LRAHK,291.34799999999996
20229M9MM8,283.477
20229NB2MT,282.399
20229PFAX5,250.752
20229RB8HY,226.498
2022A33AT3,546.558
2022A9AHXF,242.5
2022A9PAT3,508.674
2022AAB4WL,219.751
2022ACJ2WS,234.52
2022AE5BCC,243.05599999999998
2022AEXLTC,116.03
2022AFCMEA,256.40000000000003
2022ALBSWX,304.832
2022AP3B3B,141.06400000000002
2022AS4WYR,271.532
2022AYY9RK,255.361
2022B8WMTX,280.332
2022BBMA3T,323.954
2022BMNR2E,209.72
2022BMZKNH,342.885
2022BNPZY3,192.649
2022BR2N2M,220.57600000000002
2022BSL9RB,323.587
2022BTNAC9,242.528
2022BWNJBA,243.629
2022C43LYC,231.23999999999998
2022C799SX,201.71999999999997
2022C8TFSY,311.848
2022CA3ZZC,265.786
2022CS3Z8X,243.412
2022CS5X8Y,226.517
2022CTBNRN,269.751
2022CZKPMY,260.445
2022E8B2BK,196.442
2022E9C3ZE,329.319
2022ELYHCW,204.959
2022EPTMLJ,229.476
2022ESBL34,241.53
2022ETEHRM,320.294
2022F5CLN2,286.046
2022F8WNBA,270.06600000000003
2022FARZPJ,274.482
2022FB4LKK,249.973
2022FLBY7J,295.799
2022FMY5TR,288.124
2022FPLY97,273.173
2022FWZ2CR,204.002
2022FZJ4L7,292.784
2022H2STF2,313.249
2022H439FA,258.858
2022H82PL5,245.35000000000002
2022HFYPCJ,269.13599999999997
2022HKLEC5,232.326
2022HLKRTJ,202.4
2022HLNBEX,366.815
2022HLPMKN,253.14600000000002
2022HLSETF,288.334
2022HTZY2N,297.829
2022HYTLHR,269.22299999999996
2022HYXBFK,273.748
2022HZBCEM,288.955
2022J8PN5W,288.814
2022JHZL37,298.67
2022JRY7EF,218.49
2022JWFPR3,263.389
2022JYY7SA,210.0
2022K5PSNP,336.616
2022K5YRAP,241.53
2022KCEYML,233.93
2022KKHAF3,245.567
2022KL4J4J,208.795
2022KRJR2Z,252.712
2022KRKBN8,302.202
2022LHCKAL,294.746
2022LHHLWM,297.739
2022LRTNZY,194.832
2022LT8P4J,281.017
2022LX8B3E,302.851
2022MCWT4Y,271.228
2022MRSYB7,217.235
2022N3CEYY,300.363
2022NA2C8Z,194.26800000000003
2022NEL482,237.8
2022NKLHHT,294.43399999999997
2022NZ3J4W,272.012
2022P499ZB,294.707
2022P85F94,336.923
2022PE7CW3,246.65800000000002
2022PFZYBY,283.685
2022PHJMRY,296.802
2022PXE3B7,359.025
2022PYM7EW,270.2
2022RL4WMT,234.043
2022RPXNJB,336.195
2022RRBJPL,203.558
2022S2L854,212.872
2022S4EAS9,252.25
2022S5KY5L,248.995
2022S5RC7R,242.094
2022SA485H,257.63800000000003
2022SBTFHJ,257.592
2022SHHM2A,318.197
2022SMY898,274.219
2022STRZYZ,225.135
2022SWSKE5,211.2
2022T7JEL5,263.16200000000003
2022T8FXMJ,249.432
2022TJWFWJ,116.803
2022TX2T3Y,263.911
2022TZEXKF,258.72
2022W2245M,282.767
2022W2R55L,228.207
2022W3Y5BB,261.349
2022W8PREB,335.217
2022W9W7L4,239.09199999999998
2022WPXPFE,204.697
2022WRMPST,263.629
2022WS8AJY,291.197
2022X9YPZJ,321.515
2022XJHRCJ,281.954
2022XPJYSE,235.77800000000002
2022XXJ3CK,299.742
2022Y3AWN5,289.70399999999995
2022Y9WFNM,251.69799999999998
2022YALETF,249.043
2022YAPBL3,287.306
2022YEL4S2,218.76800000000003
2022YJ9SWX,197.445
2022YMLS4T,240.26
2022YT5HAL,239.774
2022Z879W3,291.158
2022Z9A424,242.784
2022Z9RZHT,265.494
2022ZFBMA4,262.688
2022ZHR8WC,348.24300000000005
2022ZKA4PZ,304.428
2022ZNCLYL,144.32
2022ZPMXHA,306.163
2022ZR5FJ8,295.93899999999996
